Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
ETH,2021-05-11,3950.254169,3928.316346,4210.110317,3667.78
ETH,2021-05-12,4177.778155,3950.112726,4182.474174,3778.891395
ETH,2021-05-13,3823.593944,4177.764685,4379.105321,3748.278118
ETH,2021-05-14,3720.21,3824.054959,4039.113811,3547.415616
ETH,2021-05-15,4080.902547,3720.057588,4177.03,3695.14
ETH,2021-05-16,3645.93,4080.786092,4133.278052,3635.73
ETH,2021-05-17,3585.36,3645.93,3878.22,3349.76858
ETH,2021-05-18,3281.771124,3585.367391,3587.14,3120.78244
ETH,2021-05-19,3378.807527,3281.766522,3565.22,3243.71
ETH,2021-05-20,2443.479552,3378.756365,3440.27,1887.371209
ETH,2021-05-21,2774.561847,2443.229665,2997.627586,2162.36
ETH,2021-05-22,2436.184614,2774.653013,2942.62,2106.505473
ETH,2021-05-23,2294.217147,2435.993995,2485.13,2157.8
ETH,2021-05-24,2100.07,2296.31,2380.433085,1732.01
ETH,2021-05-25,2649.28,2099.58,2675,2086.26
ETH,2021-05-26,2706.23105,2649.28,2752.9,2388.82
ETH,2021-05-27,2888.927087,2706.241953,2911.684806,2647.53
ETH,2021-05-28,2739.88267,2888.94224,2890.78,2642.97
ETH,2021-05-29,2413.17,2740.083665,2761.61,2329.58
ETH,2021-05-30,2279.452919,2413.842371,2574.63,2209.847153
ETH,2021-05-31,2389.388445,2279.504424,2477.15,2184.69
ETH,2021-06-01,2708.645,2389.388278,2719.43,2277.982981
ETH,2021-06-02,2634.3,2708.645,2740.249903,2530
ETH,2021-06-03,2707.484447,2634.3,2800.756956,2553.53
ETH,2021-06-04,2854.24,2707.399419,2888.906964,2663.88
ETH,2021-06-05,2690.979532,2854.300986,2858.591773,2555.01
ETH,2021-06-06,2629.871406,2690.912333,2816.92,2556.053667
ETH,2021-06-07,2711.618751,2629.80805,2745.25,2616.495416
ETH,2021-06-08,2593.04,2711.598959,2848,2575.69
ETH,2021-06-09,2509.265787,2592.47,2619.89,2310.2
ETH,2021-06-10,2610.387004,2509.137286,2626.28,2409.03
ETH,2021-06-11,2470.631594,2610.387499,2623.85,2429.67
ETH,2021-06-12,2353.570004,2470.687801,2496.04,2323.03
ETH,2021-06-13,2368.610336,2353.683058,2450,2260.48
ETH,2021-06-14,2509.625354,2368.612164,2548.75338,2311
ETH,2021-06-15,2582.57,2509.706364,2608.56,2462.65
ETH,2021-06-16,2543.836457,2582.57,2639.23,2510.18
ETH,2021-06-17,2367.462116,2543.88012,2553.36,2352.28
ETH,2021-06-18,2371.13,2367.478133,2457.733127,2306.87
ETH,2021-06-19,2230.63177,2371.13,2376.54,2138.830605
ETH,2021-06-20,2167.49,2230.917556,2276.89,2163.57
