Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
LTC,2021-03-26,171.62,176.18,178.02,167.83
LTC,2021-03-27,183.648867,171.62,183.81,171.59
LTC,2021-03-28,184.156942,183.648867,185.903061,177.997779
LTC,2021-03-29,184.209612,184.156972,187.218756,180.1
LTC,2021-03-30,193.87,184.217985,197.39,182.481697
LTC,2021-03-31,195.767431,193.87,199.97,190.29
LTC,2021-04-01,196.846916,195.767427,198.89,187.25
LTC,2021-04-02,202.481445,196.846869,204.82,194.31
LTC,2021-04-03,211.660146,202.482246,213.47,200.99
LTC,2021-04-04,195.368008,211.65971,217.35,195.2
LTC,2021-04-05,202.264399,195.368025,204.639187,192.74
LTC,2021-04-06,221.27,202.264751,225,198.24
LTC,2021-04-07,236.930261,221.27,244.23,213.2
LTC,2021-04-08,219.110701,236.935132,242.609601,211.11
LTC,2021-04-09,226.27,219.116829,228,217.23
LTC,2021-04-10,221.067775,226.303491,228.7,219.219399
LTC,2021-04-11,255.957178,221.065092,255.957178,219.39
LTC,2021-04-12,252.333403,255.955562,262.97,244.77
LTC,2021-04-13,244.451427,252.333433,258.62,240.33629
LTC,2021-04-14,267.386681,244.448151,273.05,244.442084
LTC,2021-04-15,278.83677,267.386923,282.83,255.44
LTC,2021-04-16,286.279148,278.836802,290.97,266.339881
LTC,2021-04-17,309.168624,286.270368,317.093192,266.500524
LTC,2021-04-18,301.403129,309.168671,335.32,297.677773
LTC,2021-04-19,273.800346,301.395802,304.64,236.230496
LTC,2021-04-20,261.57,273.796971,282.13,251.08
LTC,2021-04-21,261.05,261.57,272.728609,234.62
LTC,2021-04-22,257.926872,261.05,276.55,251.3
LTC,2021-04-23,253.003252,257.926834,289.626587,239.96
LTC,2021-04-24,241.59,252.997377,256.59,208.36486
LTC,2021-04-25,225.266927,241.59,241.59,221.23
LTC,2021-04-26,224.002162,225.264384,235.76,211.515684
LTC,2021-04-27,247.63,224.002247,248.25,221.799364
LTC,2021-04-28,260.07,247.63,263.3,244.25
LTC,2021-04-29,258.771995,260.044839,266.85,248.58
LTC,2021-04-30,255.765816,258.772294,262.86,248.99
LTC,2021-05-01,271.485285,255.765719,273.75,252.9
LTC,2021-05-02,276.898697,271.4857,278.48,266.5
LTC,2021-05-03,269.071268,276.898721,277.45,265.163228
LTC,2021-05-04,294.747969,269.067693,299.609343,268.87
LTC,2021-05-05,305.5,294.759814,327.58,271.816797
LTC,2021-05-06,356.517943,305.545,359.857909,301.579856
LTC,2021-05-07,354,356.43,364.978622,320
LTC,2021-05-08,345.32,354,372.56,334.1
LTC,2021-05-09,347.39,345.32,356.74,335.05
LTC,2021-05-10,388.24,347.39,389.28,334.81
LTC,2021-05-11,359.419031,388.24,413.47,336.779216
LTC,2021-05-12,377.938369,359.419049,379.75,345.76
LTC,2021-05-13,307.545542,377.94238,394.06,302.220651
LTC,2021-05-14,317.75,308.114176,332.75,292.064098
LTC,2021-05-15,326.470767,317.75,339.36,308.750476
LTC,2021-05-16,299.92,326.490891,331.494512,296.86
LTC,2021-05-17,296.42,299.92,323.774351,279.678649
LTC,2021-05-18,281.404972,296.42,296.42,261.72
LTC,2021-05-19,294.37,281.405259,318.21,278.982259
LTC,2021-05-20,186.61,294.37,300.25,147.494219
LTC,2021-05-21,210.878912,186.66,225.271216,167.25
